"seqnames","start","end","width","strand","Conc","Conc_p53KD","Conc_Scramble","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","annotation_category","input_gene","ENTREZID"
"chr12",64221823,64222323,501,"*",5.03129776434157,3.93565371755945,5.64678262999077,-0.853408494846572,0.0773019964788866,0.301238273979967,"Promoter (<=1kb)",12,64222313,64229238,6926,1,"124902952","ENST00000718713.1",0,NA,"LOC124902952","uncharacterized LOC124902952","Promoter (<=1 kb)","LOC124902952","124902952"
"chr8",54135056,54135556,501,"*",5.21845791804487,4.17909690333259,5.81630567944818,-0.849231236493475,0.0776892397734442,0.301238273979967,"Promoter (<=1kb)",8,54135241,54148514,13274,1,"29088","ENST00000260102.9",0,"ENSG00000137547","MRPL15","mitochondrial ribosomal protein L15","Promoter (<=1 kb)","MRPL15","29088"
"chr2",174787440,174787940,501,"*",5.62373212163119,4.74136542722611,6.16725098370518,-0.825276890180365,0.0777144383131815,0.301238273979967,"Promoter (<=1kb)",2,174747817,174787935,40119,2,"1134","ENST00000636168.2",0,"ENSG00000138435","CHRNA1","cholinergic receptor nicotinic alpha 1 subunit","Promoter (<=1 kb)","CHRNA1","1134"
"chr15",69784400,69784900,501,"*",5.20215133952152,4.34896579467779,5.73465672797307,-0.819537448435113,0.0777277242962348,0.301238273979967,"Intron (ENST00000647319.1/104472713, intron 9 of 11)",15,69759283,69787430,28148,1,"107984788","ENST00000798880.1",25117,NA,"LOC107984788","uncharacterized LOC107984788","Other intron","LOC107984788","107984788"
"chr17",75904527,75905027,501,"*",5.25893485148491,4.01783228591898,5.9160724814628,-0.857245180340336,0.0789499163613747,0.304909753800658,"Promoter (<=1kb)",17,75898644,75904884,6241,2,"64978","ENST00000309352.4",0,"ENSG00000204316","MRPL38","mitochondrial ribosomal protein L38","Promoter (<=1 kb)","MRPL38","64978"
"chr2",9103171,9103671,501,"*",5.87432562705235,6.4693881275548,4.84359432090383,0.843480697716846,0.0790191323474704,0.304909753800658,"Promoter (<=1kb)",2,9103206,9105801,2596,1,"105373414","ENST00000740271.1",0,NA,"LOC105373414","uncharacterized LOC105373414","Promoter (<=1 kb)","LOC105373414","105373414"
"chr22",17638533,17639033,501,"*",6.13363091465491,4.98874178786381,6.76382719738577,-0.85191964214907,0.0794136005347015,0.306065336032067,"Promoter (<=1kb)",22,17638584,17730855,92272,1,"23786","ENST00000337612.9",0,"ENSG00000099968","BCL2L13","BCL2 like 13","Promoter (<=1 kb)","BCL2L13","23786"
"chr22",29030628,29031128,501,"*",5.12372373923521,3.96018327271321,5.75932430540048,-0.85190262302496,0.0798169449967885,0.307252325901616,"Promoter (<=1kb)",22,29026878,29031362,4485,2,"100874123","ENST00000796001.1",234,"ENSG00000177993","ZNRF3-AS1","ZNRF3 antisense RNA 1","Promoter (<=1 kb)","ZNRF3-AS1","100874123"
"chr12",123584152,123584652,501,"*",5.25850717509123,3.34377711220241,6.05325859748058,-0.844478851267608,0.0801189005760507,0.308046655914123,"Promoter (<=1kb)",12,123570396,123584336,13941,2,"101927415","ENST00000793088.1",0,NA,"TMED2-DT","TMED2 divergent transcript","Promoter (<=1 kb)","TMED2-DT","101927415"
"chr10",70132703,70133203,501,"*",5.36826809035844,3.46151303120619,6.1617963599983,-0.843234767622442,0.0807414874888846,0.310070408449566,"Promoter (<=1kb)",10,70112270,70132934,20665,2,"84883","ENST00000613322.4",0,"ENSG00000042286","AIFM2","AIF family member 2","Promoter (<=1 kb)","AIFM2","84883"
"chr1",12147839,12148339,501,"*",5.19679573558416,3.33026849792793,5.98403364313506,-0.84178827335185,0.0814434872367155,0.312393947472259,"Distal Intergenic",1,12166943,12167038,96,1,"102465836","ENST00000622420.1",-18604,"ENSG00000283789","MIR7846","microRNA 7846","Distal intergenic","MIR7846","102465836"
"chr19",2341347,2341847,501,"*",5.71259682249918,6.25412890209892,4.83555469102027,0.815392086844152,0.0815790030350272,0.312541673934432,"Promoter (<=1kb)",19,2342722,2353567,10846,1,"56928","ENST00000589515.2",-875,"ENSG00000005206","SPPL2B","signal peptide peptidase like 2B","Promoter (<=1 kb)","SPPL2B","56928"
"chr14",61762109,61762609,501,"*",4.3309536288098,5.1502604799134,2.24439723915089,0.834074936159328,0.0817214615871271,0.31271561666713,"Promoter (<=1kb)",14,61762420,61796428,34009,1,"6617","ENST00000216294.5",0,"ENSG00000023608","SNAPC1","small nuclear RNA activating complex polypeptide 1","Promoter (<=1 kb)","SNAPC1","6617"
"chr5",160164977,160165477,501,"*",5.08086525102637,4.21863681456609,5.61681646797288,-0.812768457235097,0.0819765289517763,0.313319544819245,"Intron (ENST00000780126.1/ENST00000780126.1, intron 1 of 1)",5,160187367,160238735,51369,1,"2172","ENST00000393980.8",-21890,"ENSG00000170231","FABP6","fatty acid binding protein 6","Other intron","FABP6","2172"
"chr9",129570821,129571321,501,"*",5.17596126168906,4.14143614447542,5.77225093966402,-0.836392053524134,0.0821936395366877,0.31377714050617,"Distal Intergenic",9,129575117,129581295,6179,1,"105376292","ENST00000658659.1",-3796,"ENSG00000227619","LOC105376292","uncharacterized LOC105376292","Distal intergenic","LOC105376292","105376292"
"chr20",59031864,59032364,501,"*",6.02170974993044,5.18527921329756,6.54775105412874,-0.80773167767752,0.0824815601676379,0.314131899361855,"Promoter (<=1kb)",20,59025475,59032335,6861,2,"514","ENST00000243997.8",0,"ENSG00000124172","ATP5F1E","ATP synthase F1 subunit epsilon","Promoter (<=1 kb)","ATP5F1E","514"
"chr1",24642365,24642865,501,"*",4.94874954043405,3.10787607659148,5.73186860581453,-0.837731503609849,0.0827777059734111,0.314887566288466,"Promoter (<=1kb)",1,24643200,24673243,30044,1,"10250","ENST00000705662.1",-335,"ENSG00000133226","SRRM1","serine and arginine repetitive matrix 1","Promoter (<=1 kb)","SRRM1","10250"
"chr11",47425889,47426389,501,"*",5.35946182188508,4.38416687056895,5.93609439125425,-0.826307950462057,0.0830784402247333,0.315521255365302,"Promoter (<=1kb)",11,47418769,47426266,7498,2,"5702","ENST00000602866.5",0,"ENSG00000165916","PSMC3","proteasome 26S subunit, ATPase 3","Promoter (<=1 kb)","PSMC3","5702"
"chr19",1406864,1407364,501,"*",5.60700429110483,4.41110708816967,6.25176976371047,-0.843278883464946,0.0831401445701867,0.315521255365302,"Promoter (<=1kb)",19,1407569,1435684,28116,1,"26528","ENST00000336761.10",-205,"ENSG00000071626","DAZAP1","DAZ associated protein 1","Promoter (<=1 kb)","DAZAP1","26528"
"chr2",10277999,10278499,501,"*",5.54684835325819,4.51524144746978,6.1421944617099,-0.83252491787364,0.0837857417038662,0.317024042446781,"Exon (ENST00000757582.1/ENST00000757582.1, exon 1 of 3)",2,10272102,10273641,1540,1,"124907731","ENST00000795694.1",5897,"ENSG00000303569","LOC124907731","uncharacterized LOC124907731","Other exon","LOC124907731","124907731"
"chr17",7573283,7573783,501,"*",7.26234696791043,6.4414530029926,7.78230038088397,-0.800761590320056,0.0838464391381617,0.317024042446781,"Promoter (<=1kb)",17,7573316,7575165,1850,1,"1973","ENST00000581770.5",0,"ENSG00000161960","EIF4A1","eukaryotic translation initiation factor 4A1","Promoter (<=1 kb)","EIF4A1","1973"
"chr7",101882682,101883182,501,"*",5.96066280138656,4.50247701954443,6.6708791854079,-0.842203909065411,0.0839929488707495,0.317024042446781,"Intron (ENST00000437600.9/1523, intron 1 of 22)",7,101913104,102283957,370854,1,"1523","ENST00000560541.5",-29922,"ENSG00000257923","CUX1","cut like homeobox 1","Other intron","CUX1","1523"
"chrX",153926593,153927093,501,"*",5.1990236433142,4.12866087402224,5.80669792087284,-0.834258932037112,0.0840382759423915,0.317024042446781,"Promoter (<=1kb)",23,153918842,153926757,7916,2,"393","ENST00000461052.5",0,"ENSG00000089820","ARHGAP4","Rho GTPase activating protein 4","Promoter (<=1 kb)","ARHGAP4","393"
"chr19",40317910,40318410,501,"*",3.11668823966305,4.00500475432988,0.369928121234746,0.806346392222242,0.0841319272364111,0.317024042446781,"Distal Intergenic",19,40321080,40322339,1260,2,"126526","ENST00000584868.1",3929,"ENSG00000160392","C19orf47","chromosome 19 open reading frame 47","Distal intergenic","C19orf47","126526"
"chr1",119140263,119140763,501,"*",5.19968777731306,4.10583416168896,5.81462536446664,-0.834516428347955,0.0841561217861699,0.317024042446781,"Promoter (<=1kb)",1,119140391,119238057,97667,1,"101929147","ENST00000667138.1",0,"ENSG00000231365","WARS2-AS1","WARS2 antisense RNA 1","Promoter (<=1 kb)","WARS2-AS1","101929147"
"chr7",1086700,1087200,501,"*",4.77055350334182,2.84484167075769,5.56697653062312,-0.829954043527486,0.0842248852682945,0.317024042446781,"Promoter (<=1kb)",7,1086807,1091949,5143,1,"2852","ENST00000413368.5",0,"ENSG00000164850","GPER1","G protein-coupled estrogen receptor 1","Promoter (<=1 kb)","GPER1","2852"
"chrX",40174913,40175413,501,"*",4.77167050591933,3.51984961873572,5.43167004901484,-0.840781140100784,0.0843244261180339,0.317028355836996,"Promoter (1-2kb)",23,40051254,40177213,125960,2,"54880","ENST00000672922.2",1800,"ENSG00000183337","BCOR","BCL6 corepressor","Promoter (1-2 kb)","BCOR","54880"
"chr14",61561808,61562308,501,"*",5.2359296629178,4.11881225983126,5.85790973196579,-0.835149077912183,0.0844933871343281,0.31729334888905,"Promoter (<=1kb)",14,61556322,61562647,6326,2,"101927780","ENST00000835970.1",339,"ENSG00000250548","LINC01303","long intergenic non-protein coding RNA 1303","Promoter (<=1 kb)","LINC01303","101927780"
"chr5",150357424,150357924,501,"*",5.96490847288772,4.50384230166353,6.67576483824214,-0.839644663649482,0.0846879728809815,0.317564648038284,"Promoter (<=1kb)",5,150357629,150398429,40801,1,"6949","ENST00000650162.1",0,"ENSG00000070814","TCOF1","treacle ribosome biogenesis factor 1","Promoter (<=1 kb)","TCOF1","6949"
"chr16",88857006,88857506,501,"*",4.168470264735,2.10787607659148,4.98427742461734,-0.823981614978992,0.0847672047359776,0.317564648038284,"Promoter (<=1kb)",16,88857086,88861351,4266,1,"51693","ENST00000567895.5",0,"ENSG00000167515","TRAPPC2L","trafficking protein particle complex subunit 2L","Promoter (<=1 kb)","TRAPPC2L","51693"
"chr5",176492521,176493021,501,"*",5.60396983108459,4.6500122217634,6.1732524410386,-0.821476531839339,0.084861316561441,0.317564648038284,"Promoter (<=1kb)",5,176492239,176498977,6739,1,"23197","ENST00000504983.1",282,"ENSG00000113194","FAF2","Fas associated factor family member 2","Promoter (<=1 kb)","FAF2","23197"
"chr17",75124443,75124943,501,"*",6.26210193379443,5.71789438021687,6.65632193236224,-0.69714849604086,0.085157594649133,0.318025194611312,"Intron (ENST00000581078.1/79637, intron 2 of 2)",17,75130677,75149227,18551,1,"107985034","ENST00000752386.1",-5734,NA,"LOC107985034","uncharacterized LOC107985034","Other intron","LOC107985034","107985034"
"chr22",40370405,40370905,501,"*",5.21078608357084,3.39738269378647,5.9893992794069,-0.829810923776961,0.0851920468785448,0.318025194611312,"Promoter (<=1kb)",22,40370591,40406223,35633,1,"27352","ENST00000457767.5",0,"ENSG00000100359","SGSM3","small G protein signaling modulator 3","Promoter (<=1 kb)","SGSM3","27352"
"chr14",103628643,103629143,501,"*",5.32819635497111,4.51754737299552,5.84408504870677,-0.795706961219424,0.0852804991136478,0.318025194611312,"Promoter (<=1kb)",14,103627326,103629110,1785,2,"105370688","ENST00000751605.1",0,NA,"LOC105370688","uncharacterized LOC105370688","Promoter (<=1 kb)","LOC105370688","105370688"
"chr16",2720300,2720800,501,"*",4.89616340930164,3.02541391639951,5.68407111724419,-0.826847619316734,0.085551870932999,0.318619084336669,"Promoter (<=1kb)",16,2712424,2720551,8128,2,"83886","ENST00000565903.5",0,"ENSG00000172382","PRSS27","serine protease 27","Promoter (<=1 kb)","PRSS27","83886"
"chr11",47408267,47408767,501,"*",5.89243380636722,4.99744698903521,6.44062171471565,-0.811269293525358,0.085637531668391,0.318619084336669,"Promoter (<=1kb)",11,47408584,47412393,3810,1,"91252","ENST00000531974.5",0,"ENSG00000165915","SLC39A13","solute carrier family 39 member 13","Promoter (<=1 kb)","SLC39A13","91252"
"chr7",975153,975653,501,"*",5.30120530516366,4.24069003548091,5.90578832849102,-0.829219560146024,0.0858569494596047,0.319067002490019,"Promoter (<=1kb)",7,898778,975549,76772,2,"11033","ENST00000457254.5",0,"ENSG00000105963","ADAP1","ArfGAP with dual PH domains 1","Promoter (<=1 kb)","ADAP1","11033"
"chr13",98981606,98982106,501,"*",3.52272968048192,4.38079325030345,1.10689371540095,0.807762870020992,0.0860537165915236,0.319100379264276,"Intron (ENST00000703210.1/23348, intron 1 of 54)",13,98955435,98978487,23053,2,"23348","ENST00000703227.1",-3119,"ENSG00000088387","DOCK9","dedicator of cytokinesis 9","Other intron","DOCK9","23348"
"chr2",27085565,27086065,501,"*",5.77132277911977,4.88740042707557,6.31542021462624,-0.807440275834752,0.0861080244336652,0.319100379264276,"Promoter (<=1kb)",2,27086772,27100762,13991,1,"3795","ENST00000260598.10",-707,"ENSG00000138030","KHK","ketohexokinase","Promoter (<=1 kb)","KHK","3795"
"chr8",66924535,66925035,501,"*",4.94318727388482,3.57444280629294,5.63272968647329,-0.835908709235146,0.0861732231814989,0.319100379264276,"Promoter (<=1kb)",8,66925025,66926402,1378,1,"157777","ENST00000821149.1",0,"ENSG00000178460","MCMDC2","minichromosome maintenance domain containing 2","Promoter (<=1 kb)","MCMDC2","157777"
"chr12",26938045,26938545,501,"*",5.39089149090929,4.65211264188812,5.87709473019428,-0.774608019659125,0.0862620826626892,0.319100379264276,"Promoter (<=1kb)",12,26938470,26966648,28179,1,"26127","ENST00000229395.8",0,"ENSG00000111790","FGFR1OP2","FGFR1 oncogene partner 2","Promoter (<=1 kb)","FGFR1OP2","26127"
"chr17",76736858,76737358,501,"*",5.69696461514138,4.79704616326997,6.24696193587412,-0.809036694634307,0.0872008696590842,0.321856031991203,"Promoter (<=1kb)",17,76734115,76737331,3217,2,"6427","ENST00000358156.7",0,"ENSG00000161547","SRSF2","serine and arginine rich splicing factor 2","Promoter (<=1 kb)","SRSF2","6427"
"chr2",26562513,26563013,501,"*",5.64375621214129,4.85552672585022,6.15060764995317,-0.786178317804067,0.0873030144159492,0.321856031991203,"Promoter (<=1kb)",2,26562585,26579532,16948,1,"339778","ENST00000409392.5",0,"ENSG00000173557","CIMIP2C","ciliary microtubule inner protein 2C","Promoter (<=1 kb)","CIMIP2C","339778"
"chr8",30727818,30728318,501,"*",4.7832653198123,3.54079920937498,5.44076852938928,-0.831774642220394,0.0873066952080419,0.321856031991203,"Promoter (<=1kb)",8,30678066,30727846,49781,2,"2936","ENST00000221130.11",0,"ENSG00000104687","GSR","glutathione-disulfide reductase","Promoter (<=1 kb)","GSR","2936"
"chr10",70478039,70478539,501,"*",6.42239608492655,5.48007671082199,6.98760759593627,-0.813773268671047,0.0874279958359,0.321934860095165,"Promoter (<=1kb)",10,70478767,70568450,89684,1,"27143","ENST00000263563.7",-228,"ENSG00000107719","PALD1","phosphatase domain containing paladin 1","Promoter (<=1 kb)","PALD1","27143"
"chr20",58102934,58103434,501,"*",5.67826664199853,4.83269476436317,6.20784756880143,-0.796901156330496,0.0876236888499115,0.322287129537003,"Distal Intergenic",20,58131077,58149062,17986,2,"107985434","ENST00000793319.1",45628,NA,"LOC107985434","uncharacterized LOC107985434","Distal intergenic","LOC107985434","107985434"
"chr12",51238788,51239288,501,"*",5.36728633304215,3.5818072649239,6.14121546801219,-0.821709323353968,0.0877462339109199,0.322369858222331,"Promoter (<=1kb)",12,51238818,51241071,2254,1,"9802","ENST00000552173.5",0,"ENSG00000183283","DAZAP2","DAZ associated protein 2","Promoter (<=1 kb)","DAZAP2","9802"
"chr10",97736726,97737226,501,"*",5.43045180926302,4.53928691934205,5.97723162616947,-0.80315142020838,0.0882631935846777,0.32389978329138,"Promoter (<=1kb)",10,97737121,97760906,23786,1,"118813","ENST00000337540.11",0,"ENSG00000155256","ZFYVE27","zinc finger FYVE-type containing 27","Promoter (<=1 kb)","ZFYVE27","118813"
"chr3",127598831,127599331,501,"*",4.61027214139621,3.59607528208403,5.19993605194765,-0.818407662514072,0.0884806365974086,0.324320653215445,"Promoter (<=1kb)",3,127598862,127604783,5922,1,"4171","ENST00000480910.1",0,"ENSG00000073111","MCM2","minichromosome maintenance complex component 2","Promoter (<=1 kb)","MCM2","4171"
"chr21",9002485,9002985,501,"*",5.27135522780033,4.47780479789918,5.78036940530214,-0.784223137075669,0.0886469168745031,0.324320653215445,"Intron (ENST00000716361.1/100132288, intron 3 of 4)",21,8986999,8987178,180,1,"103504731","ENST00000581792.1",15486,"ENSG00000264462","MIR3648-2","microRNA 3648-2","Other intron","MIR3648-2","103504731"
"chr1",53409085,53409585,501,"*",4.14726550206159,2.10787607659148,4.960160710738,-0.81044538112791,0.0886798558295491,0.324320653215445,"Distal Intergenic",1,53438711,53439569,859,2,"163742","ENST00000562700.1",29984,"ENSG00000293595","SLC25A3P1","solute carrier family 25 member 3 pseudogene 1","Distal intergenic","SLC25A3P1","163742"
"chr20",29885543,29886043,501,"*",5.44769754018566,5.9406801760062,4.69294629559435,0.773481096274246,0.0890197901796431,0.325120984147133,"Distal Intergenic",20,29752925,29763666,10742,1,"124904968","ENST00000763489.1",132618,NA,"LOC124904968","uncharacterized LOC124904968","Distal intergenic","LOC124904968","124904968"
"chr4",185395886,185396386,501,"*",5.10851679035138,3.25987917003653,5.89289141358168,-0.815066968216914,0.0891005055871876,0.325120984147133,"Promoter (<=1kb)",4,185396021,185399028,3008,1,"353322","ENST00000507479.5",0,"ENSG00000186352","ANKRD37","ankyrin repeat domain 37","Promoter (<=1 kb)","ANKRD37","353322"
"chr14",54488669,54489169,501,"*",3.75363732126939,1.25987917003653,4.6195219539598,-0.792502994557781,0.0895848676700859,0.326518601394815,"Promoter (<=1kb)",14,54474484,54489025,14542,2,"2764","ENST00000554908.5",0,"ENSG00000197045","GMFB","glia maturation factor beta","Promoter (<=1 kb)","GMFB","2764"
"chr17",82273326,82273826,501,"*",5.17906245404838,4.15409928032735,5.77225093966402,-0.81625086781136,0.0898515436158218,0.327120535062348,"Promoter (<=1kb)",17,82273738,82277863,4126,1,"124904089","ENST00000688894.3",0,NA,"LOC124904089","uncharacterized LOC124904089","Promoter (<=1 kb)","LOC124904089","124904089"
"chr2",159157475,159157975,501,"*",4.80209366049844,2.92873961292356,5.59041341275615,-0.809579981270409,0.0900651959860386,0.327528286080154,"Intron (ENST00000263635.8/85461, intron 7 of 26)",2,159147540,159150777,3238,1,"85461","ENST00000465963.1",9935,"ENSG00000115183","TANC1","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1","Other intron","TANC1","85461"
"chr19",524266,524766,501,"*",3.5046172025199,4.36079517594877,1.10689371540095,0.792203525646715,0.09030877114922,0.327680518389819,"Intron (ENST00000813738.1/105372232, intron 1 of 2)",19,531760,542087,10328,1,"997","ENST00000215574.9",-6994,"ENSG00000099804","CDC34","cell division cycle 34, ubiquitin conjugating enzyme","Other intron","CDC34","997"
"chr2",75710444,75710944,501,"*",4.8465367276153,3.02541391639951,5.62642623447714,-0.811982666963625,0.0903104594444937,0.327680518389819,"Promoter (<=1kb)",2,75710782,75728123,17342,1,"105374813","ENST00000652200.1",0,NA,"LOC105374813","uncharacterized LOC105374813","Promoter (<=1 kb)","LOC105374813","105374813"
"chr3",51391146,51391646,501,"*",4.61495266943481,2.93104799818171,5.37091773040939,-0.814888655141058,0.0904911256942093,0.327966712021082,"Promoter (<=1kb)",3,51391285,51397908,6624,1,"29890","ENST00000563281.2",0,"ENSG00000259956","RBM15B","RNA binding motif protein 15B","Promoter (<=1 kb)","RBM15B","29890"
"chr15",90954801,90955301,501,"*",5.98197095514274,5.21212162664681,6.48126455583171,-0.774924828324664,0.0907676788891705,0.328103401094363,"Promoter (<=1kb)",15,90952239,90955225,2987,2,"116435297","ENST00000553321.1",0,NA,"RCCD1-AS1","RCCD1 and UNC45A antisense RNA 1","Promoter (<=1 kb)","RCCD1-AS1","116435297"
"chr20",25406926,25407426,501,"*",4.05148323474413,1.93795107514917,4.87435157602581,-0.800334335445291,0.0908343369882595,0.328103401094363,"Promoter (<=1kb)",20,25407611,25449072,41462,1,"9837","ENST00000696806.1",-185,"ENSG00000101003","GINS1","GINS complex subunit 1","Promoter (<=1 kb)","GINS1","9837"
"chr11",48055730,48056230,501,"*",5.23316551602819,5.74424310574846,4.4345126756877,0.779733860342737,0.0915413015906454,0.329930873649269,"Intron (ENST00000698881.1/5795, intron 1 of 24)",11,48044804,48121147,76344,1,"5795","ENST00000526550.1",10926,"ENSG00000149177","PTPRJ","protein tyrosine phosphatase receptor type J","Other intron","PTPRJ","5795"
"chr17",76266434,76266934,501,"*",3.12907038892605,0.522913575870329,4.00545091203499,-0.782350541269887,0.0915450655004489,0.329930873649269,"Promoter (<=1kb)",17,76265703,76270586,4884,1,"283991","ENST00000589240.1",731,"ENSG00000185262","UBALD2","UBA like domain containing 2","Promoter (<=1 kb)","UBALD2","283991"
"chr14",68947959,68948459,501,"*",4.97184665417852,4.0337723968337,5.53556212971745,-0.803314602268076,0.0917898822032473,0.330126827633629,"Promoter (<=1kb)",14,68910020,68947548,37529,2,"87","ENST00000553779.5",-411,"ENSG00000072110","ACTN1","actinin alpha 1","Promoter (<=1 kb)","ACTN1","87"
"chr10",42638136,42638636,501,"*",4.7617922533362,3.45991525675609,5.43480753590417,-0.819442215322689,0.0918043567845226,0.330126827633629,"Promoter (<=1kb)",10,42638229,42645549,7321,1,"105378268","ENST00000649715.4",0,"ENSG00000285884","LOC105378268","uncharacterized LOC105378268","Promoter (<=1 kb)","LOC105378268","105378268"
"chr13",113448777,113449277,501,"*",4.99710870331559,3.76065007579319,5.65299795492387,-0.817499608938243,0.0923588583589096,0.331370495683969,"Promoter (<=1kb)",13,113421940,113449142,27203,2,"113622","ENST00000356501.8",0,"ENSG00000153531","ADPRHL1","ADP-ribosylhydrolase like 1","Promoter (<=1 kb)","ADPRHL1","113622"
"chr19",4909550,4910050,501,"*",5.86965878733657,5.16665223297913,6.3402834224548,-0.755310175009089,0.0925707885561721,0.331370495683969,"Promoter (<=1kb)",19,4909501,4962154,52654,1,"29128","ENST00000650932.1",49,"ENSG00000276043","UHRF1","ubiquitin like with PHD and ring finger domains 1","Promoter (<=1 kb)","UHRF1","29128"
"chr20",1325287,1325787,501,"*",5.24668487671444,4.38332420480106,5.78306543993926,-0.789126966568463,0.0926363382986403,0.331370495683969,"Promoter (<=1kb)",20,1325366,1359877,34512,1,"100507495","ENST00000665859.3",0,"ENSG00000234684","SDCBP2-AS1","SDCBP2 antisense RNA 1","Promoter (<=1 kb)","SDCBP2-AS1","100507495"
"chr14",74018505,74019005,501,"*",5.21771003082806,3.39738269378647,5.99746838329912,-0.803602410228813,0.0927810129378641,0.331370495683969,"Promoter (<=1kb)",14,74008930,74019271,10342,2,"957","ENST00000557681.1",266,"ENSG00000187097","ENTPD5","ectonucleoside triphosphate diphosphohydrolase 5 (inactive)","Promoter (<=1 kb)","ENTPD5","957"
"chr22",31944309,31944809,501,"*",4.81069601890232,3.38901107179512,5.51266542350291,-0.814511900726331,0.0929054866507458,0.331370495683969,"Promoter (<=1kb)",22,31944522,31956482,11961,1,"7533","ENST00000443669.5",0,"ENSG00000128245","YWHAH","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta","Promoter (<=1 kb)","YWHAH","7533"
"chr19",3762658,3763158,501,"*",5.66390706689484,4.63627028545496,6.25796541821592,-0.807780997496834,0.0929447915692183,0.331370495683969,"Promoter (<=1kb)",19,3762682,3767565,4884,1,"116541","ENST00000330133.5",0,"ENSG00000183617","MRPL54","mitochondrial ribosomal protein L54","Promoter (<=1 kb)","MRPL54","116541"
"chr14",77320484,77320984,501,"*",5.0499406781746,3.56144893703423,5.76681313709681,-0.813478280988466,0.0929932535346026,0.331370495683969,"Promoter (<=1kb)",14,77274956,77320883,45928,2,"29954","ENST00000261534.9",0,"ENSG00000009830","POMT2","protein O-mannosyltransferase 2","Promoter (<=1 kb)","POMT2","29954"
"chr22",39994148,39994648,501,"*",5.20255799656337,4.31553712780098,5.74780527278784,-0.792054313740534,0.0930758220341378,0.331370495683969,"Promoter (<=1kb)",22,39994954,40043534,48581,1,"113828","ENST00000333407.11",-306,"ENSG00000133477","FAM83F","family with sequence similarity 83 member F","Promoter (<=1 kb)","FAM83F","113828"
"chr22",45309071,45309571,501,"*",4.48147605764366,2.52291357587033,5.28281296728795,-0.796776432721957,0.0934062609020199,0.332094806525692,"Promoter (<=1kb)",22,45309041,45310100,1060,1,"55007","ENST00000481447.1",30,"ENSG00000100376","FAM118A","family with sequence similarity 118 member A","Promoter (<=1 kb)","FAM118A","55007"
"chr2",215312163,215312663,501,"*",5.85182464345266,4.89259753916177,6.42293602646152,-0.801867726108173,0.0935179269555414,0.332094806525692,"Promoter (<=1kb)",2,215312498,215326978,14481,1,"471","ENST00000413174.1",0,"ENSG00000138363","ATIC","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","Promoter (<=1 kb)","ATIC","471"
"chr2",27217341,27217841,501,"*",7.27510902060714,6.89814180276719,7.57370320884831,-0.566839768880534,0.0937079333782531,0.332094806525692,"Promoter (<=1kb)",2,27217369,27243943,26575,1,"790","ENST00000264705.9",0,"ENSG00000084774","CAD","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase","Promoter (<=1 kb)","CAD","790"
"chr3",136196556,136197056,501,"*",5.24447509762721,4.41441064188292,5.76803292821453,-0.78217017124305,0.0937431703957471,0.332094806525692,"Promoter (<=1kb)",3,136149638,136196580,46943,2,"55167","ENST00000703103.1",0,"ENSG00000174579","MSL2","MSL complex subunit 2","Promoter (<=1 kb)","MSL2","55167"
"chr17",2335780,2336280,501,"*",6.4813918147036,5.75577489606736,6.96192746185152,-0.758102120519636,0.0943152384815907,0.333449349343651,"Promoter (<=1kb)",17,2335565,2336443,879,2,"55720","ENST00000576202.1",163,"ENSG00000167721","TSR1","TSR1 ribosome maturation factor","Promoter (<=1 kb)","TSR1","55720"
"chr20",49982423,49982923,501,"*",5.96528686483615,5.3198419987981,6.4096405237633,-0.730006516122226,0.0943841733710149,0.333449349343651,"Promoter (<=1kb)",20,49982980,49988886,5907,1,"6615","ENST00000244050.3",-57,"ENSG00000124216","SNAI1","snail family transcriptional repressor 1","Promoter (<=1 kb)","SNAI1","6615"
"chr21",42973850,42974350,501,"*",5.57562381879755,4.1600155264386,6.27619522635422,-0.8101635993841,0.0946027737728742,0.333774385719425,"Promoter (<=1kb)",21,42974510,43033931,59422,1,"5316","ENST00000432907.6",-160,"ENSG00000160199","PKNOX1","PBX/knotted 1 homeobox 1","Promoter (<=1 kb)","PKNOX1","5316"
"chr12",56333780,56334280,501,"*",5.84853412948142,5.01633290491148,6.37292723476369,-0.779233369799278,0.0946833608155043,0.333774385719425,"Promoter (<=1kb)",12,56334174,56340305,6132,1,"51561","ENST00000622119.4",0,"ENSG00000110944","IL23A","interleukin 23 subunit alpha","Promoter (<=1 kb)","IL23A","51561"
"chr7",102690533,102691033,501,"*",2.07204454374003,0,3.07204454374003,-0.716393538080303,0.0948192494179421,0.333888111065147,"Promoter (<=1kb)",7,102681836,102690469,8634,2,"100133005","ENST00000460726.2",-64,NA,"RASA4DP","RAS p21 protein activator 4D, pseudogene","Promoter (<=1 kb)","RASA4DP","100133005"
