"geneId","ENSEMBL","SYMBOL","GENENAME","peak_count","highest_logFC","highest_logFC_chrom","highest_logFC_start","highest_logFC_end","lowest_logFC","lowest_logFC_chrom","lowest_logFC_start","lowest_logFC_end","rank_highest_logFC","rank_lowest_logFC","rank_highest_abs_logFC"
"6164","ENSG00000109475","RPL34","ribosomal protein L34",1,-1.76767712280142,"chr4",108620563,108621063,-1.76767712280142,"chr4",108620563,108621063,56,157,161
"2768","ENSG00000146535","GNA12","G protein subunit alpha 12",1,-1.76495325977625,"chr7",2757506,2758006,-1.76495325977625,"chr7",2757506,2758006,55,158,162
"3995","ENSG00000221968","FADS3","fatty acid desaturase 3",1,-1.75397581540574,"chr11",61871164,61871664,-1.75397581540574,"chr11",61871164,61871664,54,159,163
"102725509",NA,"LINC01232","long intergenic non-protein coding RNA 1232",1,-1.74893873793544,"chr13",99498457,99498957,-1.74893873793544,"chr13",99498457,99498957,53,160,164
"100048912","ENSG00000240498","CDKN2B-AS1","CDKN2B and CDKN2A antisense cis and trans regulatory RNA 1",1,-1.74099767690695,"chr9",21994450,21994950,-1.74099767690695,"chr9",21994450,21994950,52,161,165
"105376291",NA,"LOC105376291","uncharacterized LOC105376291",1,-1.70545461077476,"chr9",129413989,129414489,-1.70545461077476,"chr9",129413989,129414489,51,162,166
"284040","ENSG00000239704","CDRT4","CMT1A duplicated region transcript 4",1,-1.70544585551402,"chr17",15463970,15464470,-1.70544585551402,"chr17",15463970,15464470,50,163,167
"107984552",NA,"LOC107984552","uncharacterized LOC107984552",1,-1.69404549838532,"chr13",44281111,44281611,-1.69404549838532,"chr13",44281111,44281611,49,164,168
"9238","ENSG00000136270","TBRG4","transforming growth factor beta regulator 4",1,-1.68996114687735,"chr7",45110914,45111414,-1.68996114687735,"chr7",45110914,45111414,48,165,169
"374443","ENSG00000284634","LOC374443","C-type lectin domain family 2 member D pseudogene",1,-1.6694524799361,"chr12",9647463,9647963,-1.6694524799361,"chr12",9647463,9647963,47,166,170
"11328","ENSG00000122642","FKBP9","FKBP prolyl isomerase 9",1,-1.66902945340259,"chr7",32957184,32957684,-1.66902945340259,"chr7",32957184,32957684,46,167,171
"6194","ENSG00000137154","RPS6","ribosomal protein S6",1,-1.65593620787955,"chr9",19379344,19379844,-1.65593620787955,"chr9",19379344,19379844,45,168,172
"1778","ENSG00000197102","DYNC1H1","dynein cytoplasmic 1 heavy chain 1",1,-1.64279568699129,"chr14",101947810,101948310,-1.64279568699129,"chr14",101947810,101948310,44,169,173
"396","ENSG00000141522","ARHGDIA","Rho GDP dissociation inhibitor alpha",1,-1.62677644763354,"chr17",81871523,81872023,-1.62677644763354,"chr17",81871523,81872023,43,170,174
"172","ENSG00000293510","AFG3L1P","AFG3 like matrix AAA peptidase subunit 1, pseudogene",1,-1.61701005070316,"chr16",89972311,89972811,-1.61701005070316,"chr16",89972311,89972811,42,171,175
"2534","ENSG00000010810","FYN","FYN proto-oncogene, Src family tyrosine kinase",1,-1.60709212982622,"chr6",111793649,111794149,-1.60709212982622,"chr6",111793649,111794149,41,172,176
"1997","ENSG00000120690","ELF1","E74 like ETS transcription factor 1",1,-1.6057765719548,"chr13",41060323,41060823,-1.6057765719548,"chr13",41060323,41060823,40,173,177
"7415","ENSG00000165280","VCP","valosin containing protein",1,-1.60284023935817,"chr9",35072225,35072725,-1.60284023935817,"chr9",35072225,35072725,39,174,178
"50628","ENSG00000179409","GEMIN4","gem nuclear organelle associated protein 4",1,-1.60204611259583,"chr17",752091,752591,-1.60204611259583,"chr17",752091,752591,38,175,179
"54929","ENSG00000064545","TMEM161A","transmembrane protein 161A",1,-1.59513927592965,"chr19",19138043,19138543,-1.59513927592965,"chr19",19138043,19138543,37,176,180
"6223","ENSG00000105372","RPS19","ribosomal protein S19",1,-1.59059357178803,"chr19",41859962,41860462,-1.59059357178803,"chr19",41859962,41860462,36,177,181
"3916","ENSG00000185896","LAMP1","lysosomal associated membrane protein 1",1,-1.58618958279175,"chr13",113296788,113297288,-1.58618958279175,"chr13",113296788,113297288,35,178,182
"6227","ENSG00000171858","RPS21","ribosomal protein S21",1,-1.58278251681534,"chr20",62387029,62387529,-1.58278251681534,"chr20",62387029,62387529,33,179,183
"84842","ENSG00000186603","HPDL","4-hydroxyphenylpyruvate dioxygenase like",1,-1.57647572551508,"chr1",45326814,45327314,-1.57647572551508,"chr1",45326814,45327314,32,180,184
"340073","ENSG00000249647","LINC02900","long intergenic non-protein coding RNA 2900",1,-1.55370076134645,"chr5",135263551,135264051,-1.55370076134645,"chr5",135263551,135264051,31,181,185
"100505561","ENSG00000227356","GOLGA7B-DT","GOLGA7B divergent transcript",1,-1.5432665538905,"chr10",97843009,97843509,-1.5432665538905,"chr10",97843009,97843509,30,182,186
"100652758","ENSG00000275765","LOC100652758","uncharacterized LOC100652758",1,-1.54325015495521,"chr5",151771149,151771649,-1.54325015495521,"chr5",151771149,151771649,29,183,187
"6159","ENSG00000162244","RPL29","ribosomal protein L29",1,-1.52676527445894,"chr3",51995393,51995893,-1.52676527445894,"chr3",51995393,51995893,28,184,188
"4191","ENSG00000146701","MDH2","malate dehydrogenase 2",1,-1.51605638733043,"chr7",76048039,76048539,-1.51605638733043,"chr7",76048039,76048539,27,185,189
"8239","ENSG00000124486","USP9X","ubiquitin specific peptidase 9 X-linked",1,-1.51484341566547,"chrX",41084668,41085168,-1.51484341566547,"chrX",41084668,41085168,26,186,190
"53615","ENSG00000071655","MBD3","methyl-CpG binding domain protein 3",1,-1.50592086696299,"chr19",1591940,1592440,-1.50592086696299,"chr19",1591940,1592440,25,187,191
"101928602","ENSG00000267201","LINC01775","long intergenic non-protein coding RNA 1775",1,-1.4998839877945,"chr19",2462581,2463081,-1.4998839877945,"chr19",2462581,2463081,24,188,192
"5050","ENSG00000079462","PAFAH1B3","platelet activating factor acetylhydrolase 1b catalytic subunit 3",1,-1.49870264485695,"chr19",42302311,42302811,-1.49870264485695,"chr19",42302311,42302811,23,189,193
"101929691","ENSG00000285872","LOC101929691","uncharacterized LOC101929691",1,-1.49660675952137,"chr2",10302482,10302982,-1.49660675952137,"chr2",10302482,10302982,22,190,194
"100616436","ENSG00000264585","MIR4449","microRNA 4449",1,-1.46968459148588,"chr4",52712646,52713146,-1.46968459148588,"chr4",52712646,52713146,21,191,195
"54890","ENSG00000091542","ALKBH5","alkB homolog 5, RNA demethylase",1,-1.46532542503249,"chr17",18183113,18183613,-1.46532542503249,"chr17",18183113,18183613,20,192,196
"154791","ENSG00000164898","FMC1","formation of mitochondrial complex V assembly factor 1",1,-1.46477047956167,"chr7",139340850,139341350,-1.46477047956167,"chr7",139340850,139341350,19,193,197
"26788","ENSG00000206630","SNORD60","small nucleolar RNA, C/D box 60",1,-1.46352637751556,"chr16",2153849,2154349,-1.46352637751556,"chr16",2153849,2154349,18,194,198
"102723640","ENSG00000259783","LINC02259","long intergenic non-protein coding RNA 2259",1,-1.46055485175981,"chr15",72616576,72617076,-1.46055485175981,"chr15",72616576,72617076,17,195,199
"105374978","ENSG00000224164","LINC02828","long intergenic non-protein coding RNA 2828",1,-1.45165418569967,"chr6",24721507,24722007,-1.45165418569967,"chr6",24721507,24722007,16,196,200
"191","ENSG00000101444","AHCY","adenosylhomocysteinase",1,-1.4418919551044,"chr20",34302517,34303017,-1.4418919551044,"chr20",34302517,34303017,15,197,201
"5187","ENSG00000179094","PER1","period circadian regulator 1",1,-1.43117682783611,"chr17",8138689,8139189,-1.43117682783611,"chr17",8138689,8139189,14,198,202
"51523","ENSG00000171604","CXXC5","CXXC finger protein 5",1,-1.42958439442481,"chr5",139660679,139661179,-1.42958439442481,"chr5",139660679,139661179,13,199,203
"138716","ENSG00000164967","RPP25L","ribonuclease P/MRP subunit p25 like",1,-1.41227440413875,"chr9",34611930,34612430,-1.41227440413875,"chr9",34611930,34612430,12,200,204
"29789","ENSG00000138430","OLA1","Obg like ATPase 1",1,-1.37730923270232,"chr2",174248835,174249335,-1.37730923270232,"chr2",174248835,174249335,11,201,205
"7205","ENSG00000087077","TRIP6","thyroid hormone receptor interactor 6",1,-1.34549896459225,"chr7",100866708,100867208,-1.34549896459225,"chr7",100866708,100867208,10,202,206
"60490","ENSG00000138621","PPCDC","phosphopantothenoylcysteine decarboxylase",1,-1.33350794737468,"chr15",75023486,75023986,-1.33350794737468,"chr15",75023486,75023986,9,203,207
"1822","ENSG00000111676","ATN1","atrophin 1",1,-1.29080890502076,"chr12",6937497,6937997,-1.29080890502076,"chr12",6937497,6937997,8,204,208
"283404","ENSG00000258279","LINC00592","long intergenic non-protein coding RNA 592",1,-1.28855192760188,"chr12",52147124,52147624,-1.28855192760188,"chr12",52147124,52147624,7,205,209
"7167","ENSG00000111669","TPI1","triosephosphate isomerase 1",1,-1.27745340587294,"chr12",6867483,6867983,-1.27745340587294,"chr12",6867483,6867983,6,206,210
"4173","ENSG00000104738","MCM4","minichromosome maintenance complex component 4",1,-1.26599376266524,"chr8",47960028,47960528,-1.26599376266524,"chr8",47960028,47960528,5,207,211
