GL000194.1	3229	3659	Scramble_H4K16ac_rep1_peak_1	GL000194.1	1633	4194	p53KD_H4K16ac_rep1_peak_3
chr13	45340899	45341634	Scramble_H4K16ac_rep1_peak_3537	chr13	45340840	45341450	p53KD_H4K16ac_rep1_peak_3499
chr13	57143121	57144312	Scramble_H4K16ac_rep1_peak_3570	chr13	57143241	57144173	p53KD_H4K16ac_rep1_peak_3514
chr13	57149481	57150679	Scramble_H4K16ac_rep1_peak_3571	chr13	57149073	57150637	p53KD_H4K16ac_rep1_peak_3516
chr13	57155520	57157252	Scramble_H4K16ac_rep1_peak_3572	chr13	57156193	57157414	p53KD_H4K16ac_rep1_peak_3517
chr13	57162769	57163786	Scramble_H4K16ac_rep1_peak_3574	chr13	57161681	57163755	p53KD_H4K16ac_rep1_peak_3519
chr13	57169038	57170388	Scramble_H4K16ac_rep1_peak_3576	chr13	57169523	57170538	p53KD_H4K16ac_rep1_peak_3520
chr14	16364362	16364666	Scramble_H4K16ac_rep1_peak_3619	chr14	16363744	16364689	p53KD_H4K16ac_rep1_peak_3564
chr14	16560081	16560481	Scramble_H4K16ac_rep1_peak_3622	chr14	16559999	16561468	p53KD_H4K16ac_rep1_peak_3580
chr14	16569723	16571298	Scramble_H4K16ac_rep1_peak_3623	chr14	16569716	16571340	p53KD_H4K16ac_rep1_peak_3581
chr14	16621705	16621904	Scramble_H4K16ac_rep1_peak_3624	chr14	16620718	16622248	p53KD_H4K16ac_rep1_peak_3592
chr14	16636684	16638903	Scramble_H4K16ac_rep1_peak_3625	chr14	16636692	16638932	p53KD_H4K16ac_rep1_peak_3593
chr14	16689979	16690749	Scramble_H4K16ac_rep1_peak_3626	chr14	16690032	16690807	p53KD_H4K16ac_rep1_peak_3597
chr14	16709391	16710627	Scramble_H4K16ac_rep1_peak_3627	chr14	16709332	16710690	p53KD_H4K16ac_rep1_peak_3601
chr14	16757063	16757533	Scramble_H4K16ac_rep1_peak_3628	chr14	16757106	16758622	p53KD_H4K16ac_rep1_peak_3613
chr14	16780305	16780735	Scramble_H4K16ac_rep1_peak_3629	chr14	16780193	16780768	p53KD_H4K16ac_rep1_peak_3616
chr14	16809633	16810727	Scramble_H4K16ac_rep1_peak_3631	chr14	16808762	16812554	p53KD_H4K16ac_rep1_peak_3622
chr14	17149648	17149886	Scramble_H4K16ac_rep1_peak_3638	chr14	17148248	17149822	p53KD_H4K16ac_rep1_peak_3664
chr14	17151303	17151604	Scramble_H4K16ac_rep1_peak_3639	chr14	17151404	17151687	p53KD_H4K16ac_rep1_peak_3665
chr14	17176538	17178020	Scramble_H4K16ac_rep1_peak_3642	chr14	17175552	17178005	p53KD_H4K16ac_rep1_peak_3669
chr14	17251115	17253189	Scramble_H4K16ac_rep1_peak_3645	chr14	17250431	17254234	p53KD_H4K16ac_rep1_peak_3683
chr14	17265705	17267317	Scramble_H4K16ac_rep1_peak_3646	chr14	17265431	17268628	p53KD_H4K16ac_rep1_peak_3684
chr14	17289766	17290003	Scramble_H4K16ac_rep1_peak_3649	chr14	17289417	17290003	p53KD_H4K16ac_rep1_peak_3689
chr14	17293967	17294720	Scramble_H4K16ac_rep1_peak_3650	chr14	17292845	17294232	p53KD_H4K16ac_rep1_peak_3690
chr14	17295907	17297366	Scramble_H4K16ac_rep1_peak_3650	chr14	17295849	17297403	p53KD_H4K16ac_rep1_peak_3691
chr14	17317072	17317245	Scramble_H4K16ac_rep1_peak_3651	chr14	17315118	17317206	p53KD_H4K16ac_rep1_peak_3694
chr14	17403290	17404952	Scramble_H4K16ac_rep1_peak_3653	chr14	17403273	17404999	p53KD_H4K16ac_rep1_peak_3712
chr14	17424841	17427673	Scramble_H4K16ac_rep1_peak_3654	chr14	17424822	17426472	p53KD_H4K16ac_rep1_peak_3716
chr14	17424841	17427673	Scramble_H4K16ac_rep1_peak_3654	chr14	17427327	17427948	p53KD_H4K16ac_rep1_peak_3717
chr14	17477567	17479397	Scramble_H4K16ac_rep1_peak_3656	chr14	17476996	17478121	p53KD_H4K16ac_rep1_peak_3724
chr14	17484623	17485856	Scramble_H4K16ac_rep1_peak_3657	chr14	17485323	17485896	p53KD_H4K16ac_rep1_peak_3726
chr14	17502908	17505419	Scramble_H4K16ac_rep1_peak_3658	chr14	17502872	17503113	p53KD_H4K16ac_rep1_peak_3729
chr14	17509280	17511071	Scramble_H4K16ac_rep1_peak_3659	chr14	17508244	17511044	p53KD_H4K16ac_rep1_peak_3730
chr14	17514685	17515017	Scramble_H4K16ac_rep1_peak_3660	chr14	17514680	17515819	p53KD_H4K16ac_rep1_peak_3732
chr14	17525685	17525946	Scramble_H4K16ac_rep1_peak_3661	chr14	17523982	17526539	p53KD_H4K16ac_rep1_peak_3734
chr14	17535405	17537984	Scramble_H4K16ac_rep1_peak_3662	chr14	17535413	17537982	p53KD_H4K16ac_rep1_peak_3738
chr14	17640097	17640848	Scramble_H4K16ac_rep1_peak_3663	chr14	17640061	17640933	p53KD_H4K16ac_rep1_peak_3740
chr14	17658499	17658785	Scramble_H4K16ac_rep1_peak_3664	chr14	17658468	17658787	p53KD_H4K16ac_rep1_peak_3741
chr14	17826733	17827165	Scramble_H4K16ac_rep1_peak_3665	chr14	17826802	17827267	p53KD_H4K16ac_rep1_peak_3760
chr14	17950042	17950479	Scramble_H4K16ac_rep1_peak_3667	chr14	17950010	17950571	p53KD_H4K16ac_rep1_peak_3774
chr14	17983133	17983563	Scramble_H4K16ac_rep1_peak_3668	chr14	17983045	17983648	p53KD_H4K16ac_rep1_peak_3777
chr14	18001604	18001804	Scramble_H4K16ac_rep1_peak_3669	chr14	18001563	18002361	p53KD_H4K16ac_rep1_peak_3779
chr14	18035978	18036246	Scramble_H4K16ac_rep1_peak_3670	chr14	18035978	18036140	p53KD_H4K16ac_rep1_peak_3784
chr14	18049912	18050901	Scramble_H4K16ac_rep1_peak_3671	chr14	18050642	18051001	p53KD_H4K16ac_rep1_peak_3787
chr14	18055521	18056147	Scramble_H4K16ac_rep1_peak_3672	chr14	18054734	18059101	p53KD_H4K16ac_rep1_peak_3789
chr14	18072532	18072909	Scramble_H4K16ac_rep1_peak_3673	chr14	18072538	18074383	p53KD_H4K16ac_rep1_peak_3793
chr14	18109715	18110850	Scramble_H4K16ac_rep1_peak_3674	chr14	18109549	18109860	p53KD_H4K16ac_rep1_peak_3796
chr14	18124540	18124805	Scramble_H4K16ac_rep1_peak_3675	chr14	18124521	18124817	p53KD_H4K16ac_rep1_peak_3801
chr14	68814815	68816692	Scramble_H4K16ac_rep1_peak_3800	chr14	68815377	68816310	p53KD_H4K16ac_rep1_peak_3849
chr14	76812671	76812968	Scramble_H4K16ac_rep1_peak_3860	chr14	76812352	76812787	p53KD_H4K16ac_rep1_peak_3874
chr14	89361351	89362084	Scramble_H4K16ac_rep1_peak_3881	chr14	89360741	89361625	p53KD_H4K16ac_rep1_peak_3889
chr14	104815271	104816718	Scramble_H4K16ac_rep1_peak_3966	chr14	104815786	104816629	p53KD_H4K16ac_rep1_peak_3931
chr14	105091935	105093222	Scramble_H4K16ac_rep1_peak_3973	chr14	105091960	105092615	p53KD_H4K16ac_rep1_peak_3936
chr14	105229899	105236116	Scramble_H4K16ac_rep1_peak_3978	chr14	105229855	105239913	p53KD_H4K16ac_rep1_peak_3939
chr14	105237994	105239412	Scramble_H4K16ac_rep1_peak_3979	chr14	105229855	105239913	p53KD_H4K16ac_rep1_peak_3939
chr14	105275964	105277480	Scramble_H4K16ac_rep1_peak_3981	chr14	105276112	105276894	p53KD_H4K16ac_rep1_peak_3940
chr15	17980126	17982805	Scramble_H4K16ac_rep1_peak_3995	chr15	17979950	17981779	p53KD_H4K16ac_rep1_peak_4038
chr15	18381005	18381555	Scramble_H4K16ac_rep1_peak_3996	chr15	18380871	18381502	p53KD_H4K16ac_rep1_peak_4104
chr15	18391715	18392361	Scramble_H4K16ac_rep1_peak_3997	chr15	18390411	18392981	p53KD_H4K16ac_rep1_peak_4106
chr15	18405643	18407022	Scramble_H4K16ac_rep1_peak_3999	chr15	18405411	18406853	p53KD_H4K16ac_rep1_peak_4110
chr15	18417077	18417093	Scramble_H4K16ac_rep1_peak_4000	chr15	18417066	18417426	p53KD_H4K16ac_rep1_peak_4114
chr15	18455963	18456634	Scramble_H4K16ac_rep1_peak_4002	chr15	18453138	18456930	p53KD_H4K16ac_rep1_peak_4121
chr15	18525692	18526523	Scramble_H4K16ac_rep1_peak_4005	chr15	18525689	18527040	p53KD_H4K16ac_rep1_peak_4138
chr15	18530627	18530950	Scramble_H4K16ac_rep1_peak_4006	chr15	18529058	18531494	p53KD_H4K16ac_rep1_peak_4139
chr15	18534217	18534452	Scramble_H4K16ac_rep1_peak_4007	chr15	18533425	18534529	p53KD_H4K16ac_rep1_peak_4140
chr15	18545626	18546344	Scramble_H4K16ac_rep1_peak_4008	chr15	18544178	18546542	p53KD_H4K16ac_rep1_peak_4143
chr15	18561732	18562136	Scramble_H4K16ac_rep1_peak_4009	chr15	18561347	18562015	p53KD_H4K16ac_rep1_peak_4145
chr15	18565997	18566922	Scramble_H4K16ac_rep1_peak_4010	chr15	18565592	18567514	p53KD_H4K16ac_rep1_peak_4146
chr15	18672934	18673562	Scramble_H4K16ac_rep1_peak_4012	chr15	18672281	18673452	p53KD_H4K16ac_rep1_peak_4173
chr15	18702721	18703386	Scramble_H4K16ac_rep1_peak_4014	chr15	18697610	18705223	p53KD_H4K16ac_rep1_peak_4178
chr15	18722421	18722817	Scramble_H4K16ac_rep1_peak_4015	chr15	18722291	18723113	p53KD_H4K16ac_rep1_peak_4184
chr15	18725496	18725782	Scramble_H4K16ac_rep1_peak_4016	chr15	18724848	18725835	p53KD_H4K16ac_rep1_peak_4185
chr15	18743215	18744176	Scramble_H4K16ac_rep1_peak_4017	chr15	18743467	18744205	p53KD_H4K16ac_rep1_peak_4191
chr15	18750782	18751046	Scramble_H4K16ac_rep1_peak_4018	chr15	18750195	18752096	p53KD_H4K16ac_rep1_peak_4193
chr15	18759399	18759930	Scramble_H4K16ac_rep1_peak_4019	chr15	18759251	18760302	p53KD_H4K16ac_rep1_peak_4195
chr15	18800077	18800171	Scramble_H4K16ac_rep1_peak_4020	chr15	18799194	18800469	p53KD_H4K16ac_rep1_peak_4205
chr15	18833957	18835747	Scramble_H4K16ac_rep1_peak_4021	chr15	18833899	18835778	p53KD_H4K16ac_rep1_peak_4214
chr15	18880249	18880773	Scramble_H4K16ac_rep1_peak_4022	chr15	18880140	18882032	p53KD_H4K16ac_rep1_peak_4228
chr15	18911164	18911602	Scramble_H4K16ac_rep1_peak_4023	chr15	18910644	18911603	p53KD_H4K16ac_rep1_peak_4237
chr15	18971462	18972475	Scramble_H4K16ac_rep1_peak_4025	chr15	18969246	18972859	p53KD_H4K16ac_rep1_peak_4252
chr15	18981972	18982315	Scramble_H4K16ac_rep1_peak_4026	chr15	18981534	18984132	p53KD_H4K16ac_rep1_peak_4255
chr15	19016942	19017539	Scramble_H4K16ac_rep1_peak_4027	chr15	19016355	19017481	p53KD_H4K16ac_rep1_peak_4261
chr15	19027955	19028521	Scramble_H4K16ac_rep1_peak_4028	chr15	19026665	19028699	p53KD_H4K16ac_rep1_peak_4264
chr15	19077977	19078027	Scramble_H4K16ac_rep1_peak_4029	chr15	19075114	19080697	p53KD_H4K16ac_rep1_peak_4275
chr15	19083010	19083617	Scramble_H4K16ac_rep1_peak_4030	chr15	19082600	19083304	p53KD_H4K16ac_rep1_peak_4276
chr15	19114722	19114992	Scramble_H4K16ac_rep1_peak_4031	chr15	19114447	19117406	p53KD_H4K16ac_rep1_peak_4284
chr15	19120174	19120746	Scramble_H4K16ac_rep1_peak_4032	chr15	19119159	19121832	p53KD_H4K16ac_rep1_peak_4285
chr15	19225134	19225522	Scramble_H4K16ac_rep1_peak_4035	chr15	19223274	19227259	p53KD_H4K16ac_rep1_peak_4311
chr15	19265886	19267854	Scramble_H4K16ac_rep1_peak_4036	chr15	19265960	19267874	p53KD_H4K16ac_rep1_peak_4323
chr15	19328995	19329324	Scramble_H4K16ac_rep1_peak_4037	chr15	19328271	19329059	p53KD_H4K16ac_rep1_peak_4340
chr15	19333161	19334420	Scramble_H4K16ac_rep1_peak_4038	chr15	19333486	19339126	p53KD_H4K16ac_rep1_peak_4342
chr15	19336470	19336725	Scramble_H4K16ac_rep1_peak_4039	chr15	19333486	19339126	p53KD_H4K16ac_rep1_peak_4342
chr15	19383173	19383533	Scramble_H4K16ac_rep1_peak_4041	chr15	19382633	19384020	p53KD_H4K16ac_rep1_peak_4355
chr15	19391892	19392246	Scramble_H4K16ac_rep1_peak_4042	chr15	19391583	19392625	p53KD_H4K16ac_rep1_peak_4358
chr15	19563184	19563876	Scramble_H4K16ac_rep1_peak_4045	chr15	19563224	19567804	p53KD_H4K16ac_rep1_peak_4401
chr15	19564905	19567473	Scramble_H4K16ac_rep1_peak_4046	chr15	19563224	19567804	p53KD_H4K16ac_rep1_peak_4401
chr15	19572956	19573006	Scramble_H4K16ac_rep1_peak_4048	chr15	19572908	19574916	p53KD_H4K16ac_rep1_peak_4404
chr15	19653906	19654232	Scramble_H4K16ac_rep1_peak_4050	chr15	19653366	19654298	p53KD_H4K16ac_rep1_peak_4421
chr15	19666847	19667763	Scramble_H4K16ac_rep1_peak_4051	chr15	19666213	19667635	p53KD_H4K16ac_rep1_peak_4425
chr15	19670814	19673380	Scramble_H4K16ac_rep1_peak_4052	chr15	19669485	19673546	p53KD_H4K16ac_rep1_peak_4426
chr15	19678100	19679428	Scramble_H4K16ac_rep1_peak_4053	chr15	19678144	19679564	p53KD_H4K16ac_rep1_peak_4428
chr15	19688617	19688868	Scramble_H4K16ac_rep1_peak_4055	chr15	19688746	19689837	p53KD_H4K16ac_rep1_peak_4430
chr15	19775486	19779800	Scramble_H4K16ac_rep1_peak_4056	chr15	19775415	19784054	p53KD_H4K16ac_rep1_peak_4440
chr15	19780833	19782463	Scramble_H4K16ac_rep1_peak_4057	chr15	19775415	19784054	p53KD_H4K16ac_rep1_peak_4440
chr15	20100620	20103294	Scramble_H4K16ac_rep1_peak_4058	chr15	20100751	20101722	p53KD_H4K16ac_rep1_peak_4441
chr15	21107621	21108329	Scramble_H4K16ac_rep1_peak_4059	chr15	21107876	21108717	p53KD_H4K16ac_rep1_peak_4444
chr15	60397685	60398742	Scramble_H4K16ac_rep1_peak_4139	chr15	60397221	60398545	p53KD_H4K16ac_rep1_peak_4471
chr15	66504051	66504774	Scramble_H4K16ac_rep1_peak_4165	chr15	66504400	66505118	p53KD_H4K16ac_rep1_peak_4478
chr15	72237114	72237724	Scramble_H4K16ac_rep1_peak_4193	chr15	72237156	72237475	p53KD_H4K16ac_rep1_peak_4488
chr15	72616722	72617037	Scramble_H4K16ac_rep1_peak_4198	chr15	72616533	72616793	p53KD_H4K16ac_rep1_peak_4489
chr15	74099793	74100192	Scramble_H4K16ac_rep1_peak_4214	chr15	74099849	74100224	p53KD_H4K16ac_rep1_peak_4492
chr15	90954916	90955742	Scramble_H4K16ac_rep1_peak_4273	chr15	90954991	90955115	p53KD_H4K16ac_rep1_peak_4518
chr15	92809145	92809419	Scramble_H4K16ac_rep1_peak_4279	chr15	92808563	92809704	p53KD_H4K16ac_rep1_peak_4519
chr15	101755993	101761709	Scramble_H4K16ac_rep1_peak_4312	chr15	101754257	101756592	p53KD_H4K16ac_rep1_peak_4530
chr15	101755993	101761709	Scramble_H4K16ac_rep1_peak_4312	chr15	101757465	101758026	p53KD_H4K16ac_rep1_peak_4531
chr15	101755993	101761709	Scramble_H4K16ac_rep1_peak_4312	chr15	101759312	101760916	p53KD_H4K16ac_rep1_peak_4531
chr15	101951379	101952663	Scramble_H4K16ac_rep1_peak_4313	chr15	101952032	101953075	p53KD_H4K16ac_rep1_peak_4533
chr15	101960611	101962689	Scramble_H4K16ac_rep1_peak_4315	chr15	101961644	101961867	p53KD_H4K16ac_rep1_peak_4536
chr16	1964447	1964775	Scramble_H4K16ac_rep1_peak_4351	chr16	1964419	1964728	p53KD_H4K16ac_rep1_peak_4551
chr16	2127862	2128312	Scramble_H4K16ac_rep1_peak_4356	chr16	2127987	2128293	p53KD_H4K16ac_rep1_peak_4553
chr16	2215313	2216130	Scramble_H4K16ac_rep1_peak_4361	chr16	2215334	2216247	p53KD_H4K16ac_rep1_peak_4556
chr16	2531674	2532307	Scramble_H4K16ac_rep1_peak_4368	chr16	2531866	2531874	p53KD_H4K16ac_rep1_peak_4561
chr16	2777404	2778474	Scramble_H4K16ac_rep1_peak_4373	chr16	2777510	2777621	p53KD_H4K16ac_rep1_peak_4563
chr16	4270953	4272563	Scramble_H4K16ac_rep1_peak_4394	chr16	4271367	4271800	p53KD_H4K16ac_rep1_peak_4570
chr16	4425018	4425773	Scramble_H4K16ac_rep1_peak_4398	chr16	4425063	4426070	p53KD_H4K16ac_rep1_peak_4575
chr16	14911088	14911279	Scramble_H4K16ac_rep1_peak_4415	chr16	14911034	14911361	p53KD_H4K16ac_rep1_peak_4583
chr16	16309369	16309752	Scramble_H4K16ac_rep1_peak_4418	chr16	16309748	16310000	p53KD_H4K16ac_rep1_peak_4585
chr16	18402390	18402656	Scramble_H4K16ac_rep1_peak_4419	chr16	18402131	18402460	p53KD_H4K16ac_rep1_peak_4590
chr16	21520550	21521482	Scramble_H4K16ac_rep1_peak_4428	chr16	21520802	21521459	p53KD_H4K16ac_rep1_peak_4599
chr16	30193477	30193895	Scramble_H4K16ac_rep1_peak_4494	chr16	30193571	30193933	p53KD_H4K16ac_rep1_peak_4639
chr16	30534566	30536069	Scramble_H4K16ac_rep1_peak_4504	chr16	30534311	30535422	p53KD_H4K16ac_rep1_peak_4640
chr16	30609786	30610512	Scramble_H4K16ac_rep1_peak_4509	chr16	30609905	30610190	p53KD_H4K16ac_rep1_peak_4642
chr16	33336124	33339572	Scramble_H4K16ac_rep1_peak_4533	chr16	33336298	33339856	p53KD_H4K16ac_rep1_peak_4645
chr16	34572591	34574093	Scramble_H4K16ac_rep1_peak_4534	chr16	34572075	34576631	p53KD_H4K16ac_rep1_peak_4651
chr16	34581454	34583077	Scramble_H4K16ac_rep1_peak_4535	chr16	34581413	34583722	p53KD_H4K16ac_rep1_peak_4652
chr16	34592706	34593577	Scramble_H4K16ac_rep1_peak_4536	chr16	34592663	34593623	p53KD_H4K16ac_rep1_peak_4655
chr16	36468920	36469704	Scramble_H4K16ac_rep1_peak_4538	chr16	36468940	36474328	p53KD_H4K16ac_rep1_peak_4680
chr16	36508854	36509731	Scramble_H4K16ac_rep1_peak_4540	chr16	36509339	36509913	p53KD_H4K16ac_rep1_peak_4685
chr16	36576587	36578452	Scramble_H4K16ac_rep1_peak_4541	chr16	36575749	36577412	p53KD_H4K16ac_rep1_peak_4696
chr16	36592147	36593009	Scramble_H4K16ac_rep1_peak_4543	chr16	36591240	36593808	p53KD_H4K16ac_rep1_peak_4699
chr16	36666672	36667077	Scramble_H4K16ac_rep1_peak_4545	chr16	36664771	36666940	p53KD_H4K16ac_rep1_peak_4715
chr16	36721571	36722917	Scramble_H4K16ac_rep1_peak_4549	chr16	36722051	36723930	p53KD_H4K16ac_rep1_peak_4724
chr16	36726189	36727036	Scramble_H4K16ac_rep1_peak_4550	chr16	36726327	36730061	p53KD_H4K16ac_rep1_peak_4725
chr16	36734002	36734322	Scramble_H4K16ac_rep1_peak_4551	chr16	36732538	36738493	p53KD_H4K16ac_rep1_peak_4727
chr16	36763856	36765314	Scramble_H4K16ac_rep1_peak_4553	chr16	36761774	36766397	p53KD_H4K16ac_rep1_peak_4731
chr16	36823283	36823374	Scramble_H4K16ac_rep1_peak_4555	chr16	36821142	36824120	p53KD_H4K16ac_rep1_peak_4744
chr16	36834697	36835257	Scramble_H4K16ac_rep1_peak_4556	chr16	36833099	36836028	p53KD_H4K16ac_rep1_peak_4746
chr16	36879324	36880430	Scramble_H4K16ac_rep1_peak_4557	chr16	36878811	36879421	p53KD_H4K16ac_rep1_peak_4753
chr16	36879324	36880430	Scramble_H4K16ac_rep1_peak_4557	chr16	36880325	36882286	p53KD_H4K16ac_rep1_peak_4754
chr16	36881444	36882481	Scramble_H4K16ac_rep1_peak_4558	chr16	36880325	36882286	p53KD_H4K16ac_rep1_peak_4754
chr16	36896454	36898460	Scramble_H4K16ac_rep1_peak_4559	chr16	36893375	36898856	p53KD_H4K16ac_rep1_peak_4758
chr16	36910993	36912761	Scramble_H4K16ac_rep1_peak_4560	chr16	36910794	36913326	p53KD_H4K16ac_rep1_peak_4761
chr16	36967304	36967608	Scramble_H4K16ac_rep1_peak_4563	chr16	36967405	36967562	p53KD_H4K16ac_rep1_peak_4772
chr16	36970302	36971340	Scramble_H4K16ac_rep1_peak_4564	chr16	36968675	36973292	p53KD_H4K16ac_rep1_peak_4772
chr16	37059235	37061783	Scramble_H4K16ac_rep1_peak_4566	chr16	37057573	37062118	p53KD_H4K16ac_rep1_peak_4787
chr16	37085547	37086272	Scramble_H4K16ac_rep1_peak_4567	chr16	37085890	37087050	p53KD_H4K16ac_rep1_peak_4791
chr16	37096835	37098034	Scramble_H4K16ac_rep1_peak_4568	chr16	37094986	37098062	p53KD_H4K16ac_rep1_peak_4792
chr16	37111625	37113456	Scramble_H4K16ac_rep1_peak_4569	chr16	37111348	37112287	p53KD_H4K16ac_rep1_peak_4795
chr16	37121700	37122865	Scramble_H4K16ac_rep1_peak_4570	chr16	37119036	37124473	p53KD_H4K16ac_rep1_peak_4796
chr16	37130593	37132085	Scramble_H4K16ac_rep1_peak_4571	chr16	37131221	37132028	p53KD_H4K16ac_rep1_peak_4800
chr16	37146920	37147194	Scramble_H4K16ac_rep1_peak_4572	chr16	37141240	37149785	p53KD_H4K16ac_rep1_peak_4803
chr16	37157841	37158677	Scramble_H4K16ac_rep1_peak_4573	chr16	37154863	37159523	p53KD_H4K16ac_rep1_peak_4805
chr16	37180105	37181020	Scramble_H4K16ac_rep1_peak_4574	chr16	37180066	37180465	p53KD_H4K16ac_rep1_peak_4812
chr16	37201926	37203242	Scramble_H4K16ac_rep1_peak_4576	chr16	37202105	37202606	p53KD_H4K16ac_rep1_peak_4816
chr16	37270970	37271337	Scramble_H4K16ac_rep1_peak_4580	chr16	37267701	37271597	p53KD_H4K16ac_rep1_peak_4827
chr16	37299243	37299639	Scramble_H4K16ac_rep1_peak_4582	chr16	37299317	37299557	p53KD_H4K16ac_rep1_peak_4834
chr16	37317906	37319147	Scramble_H4K16ac_rep1_peak_4584	chr16	37318676	37321517	p53KD_H4K16ac_rep1_peak_4836
chr16	37358792	37359364	Scramble_H4K16ac_rep1_peak_4587	chr16	37356593	37359247	p53KD_H4K16ac_rep1_peak_4845
chr16	37379775	37380358	Scramble_H4K16ac_rep1_peak_4588	chr16	37378697	37388104	p53KD_H4K16ac_rep1_peak_4848
chr16	37443450	37444459	Scramble_H4K16ac_rep1_peak_4590	chr16	37443158	37448368	p53KD_H4K16ac_rep1_peak_4856
chr16	37520625	37521977	Scramble_H4K16ac_rep1_peak_4594	chr16	37520461	37521430	p53KD_H4K16ac_rep1_peak_4870
chr16	37547438	37548290	Scramble_H4K16ac_rep1_peak_4597	chr16	37544528	37549319	p53KD_H4K16ac_rep1_peak_4877
chr16	37571837	37573319	Scramble_H4K16ac_rep1_peak_4598	chr16	37571492	37576568	p53KD_H4K16ac_rep1_peak_4880
chr16	37722761	37723140	Scramble_H4K16ac_rep1_peak_4602	chr16	37723007	37723270	p53KD_H4K16ac_rep1_peak_4903
chr16	37740718	37741644	Scramble_H4K16ac_rep1_peak_4603	chr16	37738905	37744988	p53KD_H4K16ac_rep1_peak_4905
chr16	37752998	37753633	Scramble_H4K16ac_rep1_peak_4604	chr16	37752348	37753576	p53KD_H4K16ac_rep1_peak_4908
chr16	37797859	37798205	Scramble_H4K16ac_rep1_peak_4605	chr16	37796567	37798269	p53KD_H4K16ac_rep1_peak_4916
chr16	37929962	37930993	Scramble_H4K16ac_rep1_peak_4607	chr16	37930693	37931476	p53KD_H4K16ac_rep1_peak_4935
chr16	38025316	38025671	Scramble_H4K16ac_rep1_peak_4609	chr16	38019282	38025714	p53KD_H4K16ac_rep1_peak_4947
chr16	38068164	38068797	Scramble_H4K16ac_rep1_peak_4611	chr16	38067138	38068243	p53KD_H4K16ac_rep1_peak_4955
chr16	38177367	38179508	Scramble_H4K16ac_rep1_peak_4612	chr16	38177625	38179620	p53KD_H4K16ac_rep1_peak_4969
chr16	38215307	38215591	Scramble_H4K16ac_rep1_peak_4613	chr16	38214269	38218665	p53KD_H4K16ac_rep1_peak_4976
chr16	38238909	38240070	Scramble_H4K16ac_rep1_peak_4614	chr16	38238791	38239045	p53KD_H4K16ac_rep1_peak_4980
chr16	38240884	38241384	Scramble_H4K16ac_rep1_peak_4614	chr16	38241239	38243116	p53KD_H4K16ac_rep1_peak_4981
chr16	38259634	38260349	Scramble_H4K16ac_rep1_peak_4615	chr16	38259200	38260648	p53KD_H4K16ac_rep1_peak_4985
chr16	38276147	38276445	Scramble_H4K16ac_rep1_peak_4616	chr16	38276150	38277957	p53KD_H4K16ac_rep1_peak_4988
chr16	38279228	38280107	Scramble_H4K16ac_rep1_peak_4617	chr16	38280027	38280394	p53KD_H4K16ac_rep1_peak_4989
chr16	70523610	70523873	Scramble_H4K16ac_rep1_peak_4700	chr16	70523612	70523801	p53KD_H4K16ac_rep1_peak_5012
chr16	72976759	72977180	Scramble_H4K16ac_rep1_peak_4707	chr16	72976863	72976929	p53KD_H4K16ac_rep1_peak_5014
chr16	89972292	89972787	Scramble_H4K16ac_rep1_peak_4787	chr16	89972316	89972394	p53KD_H4K16ac_rep1_peak_5047
chr16	90117203	90117983	Scramble_H4K16ac_rep1_peak_4791	chr16	90116823	90117848	p53KD_H4K16ac_rep1_peak_5048
chr17	117406	117879	Scramble_H4K16ac_rep1_peak_4792	chr17	117187	117980	p53KD_H4K16ac_rep1_peak_5051
chr17	124191	127493	Scramble_H4K16ac_rep1_peak_4794	chr17	123907	127743	p53KD_H4K16ac_rep1_peak_5052
chr17	751785	752837	Scramble_H4K16ac_rep1_peak_4798	chr17	751810	752579	p53KD_H4K16ac_rep1_peak_5057
chr17	1399788	1400604	Scramble_H4K16ac_rep1_peak_4816	chr17	1399797	1399825	p53KD_H4K16ac_rep1_peak_5070
chr17	1717359	1717853	Scramble_H4K16ac_rep1_peak_4824	chr17	1717362	1717853	p53KD_H4K16ac_rep1_peak_5078
chr17	3888829	3889789	Scramble_H4K16ac_rep1_peak_4846	chr17	3888980	3889100	p53KD_H4K16ac_rep1_peak_5094
chr17	4476884	4477104	Scramble_H4K16ac_rep1_peak_4854	chr17	4476710	4477483	p53KD_H4K16ac_rep1_peak_5100
chr17	7251285	7252655	Scramble_H4K16ac_rep1_peak_4891	chr17	7251819	7252461	p53KD_H4K16ac_rep1_peak_5111
chr17	7306678	7308378	Scramble_H4K16ac_rep1_peak_4895	chr17	7306443	7309044	p53KD_H4K16ac_rep1_peak_5114
chr17	7351773	7352180	Scramble_H4K16ac_rep1_peak_4898	chr17	7351370	7352388	p53KD_H4K16ac_rep1_peak_5116
chr17	7572560	7573880	Scramble_H4K16ac_rep1_peak_4907	chr17	7573117	7573599	p53KD_H4K16ac_rep1_peak_5123
chr17	17591428	17592879	Scramble_H4K16ac_rep1_peak_4982	chr17	17591561	17591667	p53KD_H4K16ac_rep1_peak_5149
chr17	17921269	17922241	Scramble_H4K16ac_rep1_peak_5000	chr17	17921003	17921273	p53KD_H4K16ac_rep1_peak_5152
chr17	19046972	19047286	Scramble_H4K16ac_rep1_peak_5023	chr17	19046753	19047028	p53KD_H4K16ac_rep1_peak_5163
chr17	19061431	19064428	Scramble_H4K16ac_rep1_peak_5024	chr17	19061286	19062139	p53KD_H4K16ac_rep1_peak_5164
